#url:http://www.pathology.washington.edu/research/werner/database/references.html
15217989	Bennett RJ, Keck JL. 2004. Structure and function of RecQ DNA helicases. Crit Rev Biochem Mol Biol 39: 79-97.
11292662	Choi D, Whittier PS, Oshima J, Funk WD. 2001. Telomerase expression prevents replicative senescence but does not fully reset mRNA expression patterns in Werner syndrome cell strains. FASEB J. Apr;15(6):1014-20.
9048918	Goto M, Imamura O, Kuromitsu J, Matsumoto T, Yamabe Y, Tokutake Y, Suzuki N, Mason B, Drayna D, Sugawara M, Sugimoto M, Furuichi Y. 1997. Analysis of helicase gene mutations in Japanese Werner's syndrome patients. Hum Genet 99:191-193.
16673358	Huang S, Lee L, Hanson NB, Lenaerts C, Hoehn H, Poot M, Rubin CD, Chen DF, Yang CC, Juch H, Dorn T, Spiegel R, Oral EA, Abid M, Battisti C, Lucci-Cordisco E, Neri G, Steed EH, Kidd A, Isley W, Showalter D, Vittone JL, Konstantinow A, Ring J, Meyer P, Wenger SL, von Herbay A, Wollina U, Schuelke M, Huizenga CR, Leistritz DF, Martin GM, Mian IS, Oshima J. 2006. The spectrum of WRN mutations in Werner syndrome patients. Hum Mutat. Jun;27(6):558-67.
9225981	Matsumoto T, Imamura O, Yamabe Y, Kuromitsu J, Tokutake Y, Shimamoto A, Suzuki N, Satoh M, Kitao S, Ichikawa K, Kataoka H, Sugawara K, Thomas W, Mason B, Tsuchihashi Z, Drayna D, Sugawara M, Sugimoto M, Furuichi Y, Goto M. 1997. Mutation and haplotype analyses of the Werner's syndrome gene based on its genomic structure: genetic epidemiology in the Japanese population. Hum Genet 100: 123-130.
9450180	Meisslitzer C, Ruppitsch W, Weirich-Schwaiger H, Weirich HG, Jabkowsky J, Klein G, Schweiger M, Hirsch-Kauffmann M. 1997. Werner syndrome: characterization of mutations in the WRN gene in an affected family. Eur J Hum Genet 5: 364-370.
10811130	Moser MJ, Bigbee WL, Grant SG, Emond MJ, Langlois RG, Jensen RH, Oshima J, Monnat RJ Jr. 2000. Genetic instability and hematologic disease risk in Werner syndrome patients and heterozygotes. Cancer Res 60: 2492-2496.
15888165	Muller FB, Tsianakas A, Kuwert C, Korge BP, Hunzelmann N. 2005. A novel compound heterozygous mutation in Werner syndrome results in WRN transcript decay. Br J Dermatol. May;152(5):1030-2.
12053110	Nakayama T, Ochiai T, Takahashi Y, Ohkubo K, Hironaga T, Kokubun S. 2002. A novel mutation in a patient with Werner's syndrome. Gerontology. Jul-Aug;48(4):215-9.
8968742	Oshima J, Yu CE, Piussan C, Klein G, Jabkowski J, Balci S, Miki T, Nakura J, Ogihara T, Ells J, Smith M, Melaragno MI, Fraccaro M, Scappaticci S, Matthews J, Ouais S, Jarzebowicz A, Schellenberg GD, Martin GM. 1996. Homozygous and compound heterozygous mutations at the Werner syndrome locus. Hum Mol Genet 5: 1909-1913.
16786514	Uhrhammer NA, Lafarge L, Dos Santos L, Domaszewska A, Lange M, Yang Y, Aractingi S, Bessis D, Bignon YJ. 2006. Werner syndrome and mutations of the WRN and LMNA genes in France. Hum Mutat. Jul;27(7):718-9.
8602509	Yu CE, Oshima J, Fu YH, Wijsman EM, Hisama F, Alisch R, Matthews S, Nakura J, Miki T, Ouais S, Martin GM, Mulligan J, Schellenberg GD. 1996. Positional cloning of the Werner's syndrome gene. Science 272: 258-262.
9012406	Yu CE, Oshima J, Wijsman EM, Nakura J, Miki T, Piussan C, Matthews S, Fu YH, Mulligan J, Martin GM, Schellenberg GD. 1997. Mutations in the consensus helicase domains of the Werner syndrome gene. Werner's Syndrome Collaborative Group
